ID,genero,edad,provincia,bloque,votacion_final1,region
2,Mujer,72,santiago del estero,FDT,negativo,NOA
3,Varón,57,buenos aires,JxC y aliados,negativo,Buenos Aires
4,Varón,65,san juan,FDT,negativo,Cuyo
5,Varón,39,san luis,FDT,negativo,Cuyo
6,Varón,40,la rioja,resto y provinciales,negativo,NOA
7,Varón,62,tucuman,JxC y aliados,negativo,NOA
8,Varón,43,santa fe,JxC y aliados,negativo,Centro
9,Varón,49,buenos aires,resto y provinciales,negativo,Buenos Aires
10,Varón,45,formosa,resto y provinciales,negativo,NEA
11,Mujer,69,tucuman,resto y provinciales,negativo,NOA
12,Varón,78,buenos aires,JxC y aliados,negativo,Buenos Aires
13,Mujer,54,tucuman,resto y provinciales,negativo,NOA
14,Mujer,67,chaco,resto y provinciales,negativo,NEA
15,Varón,54,cordoba,JxC y aliados,negativo,Centro
16,Varón,42,la pampa,resto y provinciales,negativo,Patagonia
17,Varón,50,buenos aires,JxC y aliados,negativo,Buenos Aires
18,Mujer,48,tierra del fuego,FDT,negativo,Patagonia
19,Mujer,40,corrientes,JxC y aliados,negativo,NEA
20,Varón,76,catamarca,resto y provinciales,negativo,NOA
21,Varón,56,santiago del estero,FDT,negativo,NOA
22,Mujer,49,jujuy,resto y provinciales,negativo,NOA
23,Varón,50,formosa,resto y provinciales,negativo,NEA
24,Mujer,67,buenos aires,resto y provinciales,negativo,Buenos Aires
25,Mujer,63,buenos aires,JxC y aliados,negativo,Buenos Aires
26,Varón,62,buenos aires,JxC y aliados,negativo,Buenos Aires
27,Varón,55,tucuman,resto y provinciales,negativo,NOA
28,Varón,38,santa cruz,resto y provinciales,negativo,Patagonia
29,Mujer,43,cordoba,resto y provinciales,negativo,Centro
30,Varón,55,la rioja,FDT,negativo,NOA
31,Mujer,54,san juan,FDT,negativo,Cuyo
32,Varón,41,cordoba,resto y provinciales,negativo,Centro
33,Mujer,47,santa fe,JxC y aliados,negativo,Centro
34,Varón,73,chaco,resto y provinciales,negativo,NEA
35,Varón,48,santa fe,resto y provinciales,negativo,Centro
36,Mujer,69,salta,JxC y aliados,negativo,NOA
37,Mujer,48,entre rios,FDT,negativo,Centro
38,Mujer,71,formosa,FDT,negativo,NEA
39,Varón,54,mendoza,JxC y aliados,negativo,Cuyo
40,Mujer,45,cordoba,JxC y aliados,negativo,Centro
41,Varón,73,ciudad autonoma de buenos aires,JxC y aliados,negativo,CABA
42,Varón,60,mendoza,FDT,negativo,Cuyo
43,Varón,42,buenos aires,JxC y aliados,negativo,Buenos Aires
44,Varón,46,formosa,FDT,negativo,NEA
45,Varón,64,buenos aires,FDT,negativo,Buenos Aires
46,Varón,50,la rioja,FDT,negativo,NOA
47,Varón,67,buenos aires,JxC y aliados,negativo,Buenos Aires
48,Mujer,59,entre rios,JxC y aliados,negativo,Centro
49,Varón,52,cordoba,JxC y aliados,negativo,Centro
50,Mujer,55,catamarca,FDT,negativo,NOA
51,Varón,71,san juan,FDT,negativo,Cuyo
52,Varón,62,ciudad autonoma de buenos aires,JxC y aliados,negativo,CABA
53,Varón,61,salta,JxC y aliados,negativo,NOA
54,Varón,67,cordoba,resto y provinciales,negativo,Centro
55,Varón,48,entre rios,JxC y aliados,negativo,Centro
56,Varón,51,santiago del estero,FDT,negativo,NOA
57,Mujer,49,corrientes,JxC y aliados,negativo,NEA
58,Varón,57,cordoba,JxC y aliados,negativo,Centro
59,Varón,48,santa fe,JxC y aliados,negativo,Centro
60,Mujer,37,santa fe,JxC y aliados,negativo,Centro
61,Varón,57,chaco,FDT,negativo,NEA
62,Varón,66,catamarca,JxC y aliados,negativo,NOA
63,Varón,32,la pampa,JxC y aliados,negativo,Patagonia
64,Mujer,51,cordoba,resto y provinciales,negativo,Centro
65,Varón,60,jujuy,FDT,negativo,NOA
66,Mujer,70,cordoba,JxC y aliados,negativo,Centro
67,Mujer,38,santa fe,FDT,negativo,Centro
68,Mujer,47,tucuman,FDT,negativo,NOA
69,Varón,35,buenos aires,JxC y aliados,negativo,Buenos Aires
70,Varón,42,cordoba,resto y provinciales,negativo,Centro
71,Varón,56,jujuy,JxC y aliados,negativo,NOA
72,Mujer,68,santiago del estero,FDT,negativo,NOA
73,Mujer,48,ciudad autonoma de buenos aires,JxC y aliados,negativo,CABA
74,Varón,58,chaco,FDT,negativo,NEA
75,Mujer,70,chubut,FDT,negativo,Patagonia
76,Varón,43,salta,resto y provinciales,negativo,NOA
77,Mujer,62,santiago del estero,FDT,negativo,NOA
78,Mujer,63,santiago del estero,FDT,negativo,NOA
79,Varón,46,santa fe,JxC y aliados,negativo,Centro
80,Mujer,47,ciudad autonoma de buenos aires,JxC y aliados,negativo,CABA
81,Varón,45,san juan,resto y provinciales,negativo,Cuyo
82,Mujer,42,formosa,FDT,negativo,NEA
83,Varón,68,misiones,resto y provinciales,negativo,NEA
84,Mujer,67,chaco,FDT,negativo,NEA
