link,provincia,departamento,region,cnpv_2001,cnpv_2010,nacimientos_2010_2000,defunciones_2010_2000,pob_esperables,saldo_migratorio,tasa_migracion,codpcia
06854,Buenos Aires,25 De Mayo,Centro,34877,35842,4941,3529,36289,-447,-1.23,06
06588,Buenos Aires,9 De Julio,Centro,45998,47722,6896,4566,48328,-606,-1.25,06
06007,Buenos Aires,Adolfo Alsina,Centro,16245,17072,2007,1612,16640,432,2.6,06
06014,Buenos Aires,Adolfo Gonzales Chaves,Centro,12037,12047,1663,1133,12567,-520,-4.14,06
06021,Buenos Aires,Alberti,Centro,10373,10654,1421,1062,10732,-78,-0.73,06
06028,Buenos Aires,Almirante Brown,Centro,515556,552902,88712,34382,569886,-16984,-2.98,06
06077,Buenos Aires,Arrecifes,Centro,27279,29044,4284,2537,29026,18,0.06,06
06035,Buenos Aires,Avellaneda,Centro,328980,342677,53774,34939,347815,-5138,-1.48,06
06042,Buenos Aires,Ayacucho,Centro,19669,20337,3185,1801,21053,-716,-3.4,06
06049,Buenos Aires,Azul,Centro,62996,65280,9794,5618,67172,-1892,-2.82,06
06056,Buenos Aires,Bahia Blanca,Centro,284776,301572,41309,24181,301904,-332,-0.11,06
06063,Buenos Aires,Balcarce,Centro,42039,43823,6052,3649,44442,-619,-1.39,06
06070,Buenos Aires,Baradero,Centro,29562,32761,5084,2953,31693,1068,3.37,06
06084,Buenos Aires,Benito Juarez,Centro,19443,20239,2964,1765,20642,-403,-1.95,06
06091,Buenos Aires,Berazategui,Centro,287913,324244,51601,19026,320488,3756,1.17,06
06098,Buenos Aires,Berisso,Centro,80092,88470,12684,6550,86226,2244,2.6,06
06105,Buenos Aires,Bolivar,Centro,32442,34190,4373,3620,33195,995,3,06
06112,Buenos Aires,Bragado,Centro,40259,41336,5709,4209,41759,-423,-1.01,06
06119,Buenos Aires,Brandsen,Centro,22515,26367,4600,1717,25398,969,3.82,06
06126,Buenos Aires,Campana,Centro,83698,94461,15906,5780,93824,637,0.68,06
06134,Buenos Aires,Canuelas,Centro,42575,51892,8661,3050,48186,3706,7.69,06
06140,Buenos Aires,Capitan Sarmiento,Centro,12854,14494,1906,1076,13684,810,5.92,06
06147,Buenos Aires,Carlos Casares,Centro,21125,22237,3257,2104,22278,-41,-0.18,06
06154,Buenos Aires,Carlos Tejedor,Centro,11539,11570,1502,1024,12017,-447,-3.72,06
06161,Buenos Aires,Carmen De Areco,Centro,13992,14692,2285,1214,15063,-371,-2.46,06
06168,Buenos Aires,Castelli,Centro,7852,8205,1105,743,8214,-9,-0.11,06
06210,Buenos Aires,Chacabuco,Centro,45445,48703,6927,4697,47675,1028,2.16,06
06217,Buenos Aires,Chascomus,Centro,38647,42277,6632,3274,42005,272,0.65,06
06224,Buenos Aires,Chivilcoy,Centro,60762,64185,8716,6467,63011,1174,1.86,06
06175,Buenos Aires,Colon,Centro,23179,24890,3582,2008,24753,137,0.55,06
06182,Buenos Aires,Coronel De Marina Leonardo Rosales,Centro,60892,62152,9324,3102,67114,-4962,-7.39,06
06189,Buenos Aires,Coronel Dorrego,Centro,16522,15825,1986,1640,16868,-1043,-6.18,06
06196,Buenos Aires,Coronel Pringles,Centro,23794,22933,3264,2181,24877,-1944,-7.81,06
06203,Buenos Aires,Coronel Suarez,Centro,36828,38320,4703,3301,38230,90,0.24,06
06231,Buenos Aires,Daireaux,Centro,15857,16889,2628,1245,17240,-351,-2.04,06
06238,Buenos Aires,Dolores,Centro,25216,27042,4169,2390,26995,47,0.17,06
06245,Buenos Aires,Ensenada,Centro,51448,56729,8931,4237,56142,587,1.05,06
06252,Buenos Aires,Escobar,Centro,178155,213619,38447,9944,206658,6961,3.37,06
06260,Buenos Aires,Esteban Echeverria,Centro,243974,300959,50145,15136,278983,21976,7.88,06
06266,Buenos Aires,Exaltacion De La Cruz,Centro,24167,29805,4960,1697,27430,2375,8.66,06
06270,Buenos Aires,Ezeiza,Centro,118807,163722,27900,6762,139945,23777,16.99,06
06274,Buenos Aires,Florencio Varela,Centro,348970,426005,75174,18449,405695,20310,5.01,06
06277,Buenos Aires,Florentino Ameghino,Centro,8171,8869,1414,634,8951,-82,-0.92,06
06280,Buenos Aires,General Alvarado,Centro,34391,39594,5325,2713,37003,2591,7,06
06287,Buenos Aires,General Alvear,Centro,10897,11130,1336,800,11433,-303,-2.65,06
